iter	Passed	Remaining
0	61	61372
1	65	32680
2	69	23049
3	72	18142
4	76	15203
5	80	13256
6	83	11871
7	87	10791
8	90	9958
9	94	9329
10	97	8799
11	101	8364
12	104	7933
13	107	7559
14	110	7233
15	113	6964
16	116	6713
17	119	6499
18	122	6314
19	126	6209
20	129	6047
21	132	5899
22	135	5760
23	138	5631
24	141	5509
25	144	5397
26	146	5290
27	149	5195
28	152	5113
29	155	5025
30	158	4949
31	160	4869
32	163	4805
33	166	4744
34	170	4687
35	172	4625
36	175	4569
37	178	4519
38	181	4470
39	184	4426
40	187	4384
41	190	4350
42	194	4321
43	197	4282
44	199	4243
45	203	4214
46	206	4195
47	210	4165
48	212	4133
49	215	4101
50	218	4068
51	221	4038
52	224	4012
53	227	3987
54	230	3959
55	233	3934
56	236	3905
57	238	3880
58	241	3854
59	244	3829
60	247	3810
61	250	3789
62	253	3766
63	255	3743
64	258	3723
65	261	3703
66	264	3685
67	267	3664
68	270	3647
69	273	3627
70	275	3608
71	278	3590
72	281	3571
73	284	3554
74	286	3537
75	289	3523
76	292	3510
77	295	3496
78	298	3480
79	301	3465
80	304	3449
81	306	3436
82	309	3422
83	312	3410
84	315	3397
85	318	3383
86	321	3370
87	324	3357
88	326	3344
89	329	3332
90	332	3320
91	335	3308
92	337	3296
93	340	3284
94	343	3273
95	346	3263
96	349	3252
97	352	3240
98	354	3230
99	357	3219
100	360	3210
101	363	3198
102	366	3188
103	368	3176
104	371	3166
105	374	3158
106	377	3151
107	380	3140
108	383	3130
109	385	3120
110	388	3112
111	391	3107
112	394	3098
113	397	3090
114	400	3083
115	403	3074
116	406	3065
117	408	3056
118	411	3048
119	414	3040
120	417	3033
121	420	3025
122	423	3019
123	426	3012
124	429	3004
125	431	2995
126	434	2987
127	437	2980
128	440	2972
129	443	2966
130	445	2957
131	448	2951
132	451	2943
133	454	2936
134	457	2929
135	460	2922
136	462	2915
137	465	2910
138	468	2903
139	471	2896
140	474	2889
141	476	2882
142	480	2877
143	482	2870
144	485	2863
145	488	2859
146	491	2853
147	494	2847
148	497	2841
149	500	2835
150	503	2829
151	506	2823
152	508	2817
153	512	2813
154	514	2807
155	517	2801
156	520	2795
157	523	2790
158	526	2783
159	529	2778
160	531	2771
161	535	2767
162	538	2762
163	540	2756
164	543	2750
165	546	2746
166	549	2741
167	552	2737
168	555	2732
169	558	2727
170	561	2721
171	564	2716
172	567	2711
173	570	2706
174	573	2702
175	576	2696
176	578	2691
177	581	2687
178	584	2682
179	587	2676
180	590	2671
181	593	2667
182	596	2662
183	600	2661
184	603	2657
185	606	2653
186	609	2647
187	611	2642
188	614	2638
189	617	2633
190	620	2628
191	623	2624
192	626	2619
193	629	2615
194	632	2610
195	635	2605
196	638	2601
197	641	2596
198	643	2591
199	646	2587
200	649	2583
201	653	2579
202	655	2574
203	658	2569
204	662	2567
205	665	2563
206	668	2559
207	671	2556
208	674	2551
209	678	2550
